date,day_of_week,pair,orb_time_gmt,orb_time_ist,entry_mode,rr_ratio,expected_wr,direction,orb_high,orb_low,orb_range_pips,break_time,entry_time,entry_price,sl_price,tp_price,risk_pips,result,pnl_pips,exit_time,exit_price,exit_reason
2025-12-04,Thursday,USDCAD,11:15,04:45 PM,15min,2.0,72.7,SHORT,1.39735,1.39675,6.0,2025-12-04 13:15:00,2025-12-04 13:30:00,1.39675,1.39755,1.39515,8.0,WIN,16.0,2025-12-04 14:30:00,1.3951499999999997,TP Hit
2025-12-04,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.16791,1.16747,4.4,2025-12-04 11:45:00,2025-12-04 12:00:00,1.16791,1.16727,1.16919,6.4,LOSS,-6.4,2025-12-04 12:30:00,1.16727,SL Hit
2025-12-08,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,LONG,1.38442,1.38295,14.7,2025-12-08 16:15:00,2025-12-08 16:30:00,1.38442,1.38275,1.38943,16.7,WIN,3.9,2025-12-08 23:45:00,1.38481,EOD Close
2025-12-10,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,SHORT,1.33363,1.33292,7.1,2025-12-10 15:15:00,2025-12-10 16:15:00,1.33292,1.33383,1.33019,9.1,LOSS,-9.1,2025-12-10 16:50:00,1.33383,SL Hit
2025-12-11,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,LONG,1.17175,1.17109,6.6,2025-12-11 13:15:00,2025-12-11 13:30:00,1.17175,1.17089,1.17347,8.6,WIN,17.2,2025-12-11 13:45:00,1.1734700000000002,TP Hit
2025-12-15,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,LONG,1.37637,1.37545,9.2,2025-12-15 16:00:00,2025-12-15 16:15:00,1.37637,1.37525,1.37973,11.2,WIN,5.4,2025-12-15 23:45:00,1.37691,EOD Close
2025-12-18,Thursday,USDCAD,11:15,04:45 PM,15min,2.0,72.7,LONG,1.37857,1.37805,5.2,2025-12-18 12:00:00,2025-12-18 13:00:00,1.37857,1.37785,1.38001,7.2,LOSS,-7.2,2025-12-18 13:30:00,1.37785,SL Hit
2025-12-18,Thursday,EURUSD,11:30,05:00 PM,5min,2.0,66.7,SHORT,1.17271,1.1721,6.1,2025-12-18 11:45:00,2025-12-18 12:00:00,1.1721,1.17291,1.17048,8.1,LOSS,-8.1,2025-12-18 13:15:00,1.17291,SL Hit
2025-12-18,Thursday,GBPUSD,03:45,09:15 AM,15min,2.0,63.6,LONG,1.33634,1.33611,2.3,2025-12-18 03:55:00,2025-12-18 04:05:00,1.33634,1.33591,1.3372,4.3,WIN,8.6,2025-12-18 05:10:00,1.3372000000000004,TP Hit
2025-12-19,Friday,USDCAD,16:00,09:30 PM,15min,2.5,63.0,SHORT,1.37873,1.37796,7.7,2025-12-19 16:15:00,2025-12-19 16:30:00,1.37796,1.37893,1.37554,9.7,LOSS,-9.7,2025-12-19 20:15:00,1.37893,SL Hit
2025-12-22,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,SHORT,1.37458,1.37395,6.3,2025-12-22 17:30:00,2025-12-22 18:00:00,1.37395,1.37478,1.37146,8.3,LOSS,-8.3,2025-12-22 19:45:00,1.37478,SL Hit
2025-12-24,Wednesday,GBPUSD,15:00,08:30 PM,15min,3.0,61.5,LONG,1.34992,1.34913,7.9,2025-12-24 15:10:00,2025-12-24 16:15:00,1.34992,1.34893,1.35289,9.9,WIN,2.9,2025-12-24 21:55:00,1.35021,EOD Close
2025-12-26,Friday,USDCAD,16:00,09:30 PM,15min,2.5,63.0,LONG,1.36634,1.36541,9.3,2025-12-26 16:15:00,2025-12-26 17:00:00,1.36634,1.36521,1.36917,11.3,WIN,8.6,2025-12-26 21:45:00,1.3672,EOD Close
2025-12-29,Monday,USDCAD,15:45,09:15 PM,15min,3.0,61.5,SHORT,1.36788,1.36691,9.7,2025-12-29 16:00:00,2025-12-29 16:15:00,1.36691,1.36808,1.3634,11.7,LOSS,-11.7,2025-12-29 16:30:00,1.36808,SL Hit
