<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.08.05	09:15:00	1.15377	1.15445	1.15368	1.15427	550	0	9
2025.08.05	09:30:00	1.15428	1.15432	1.15379	1.15386	473	0	9
2025.08.05	09:45:00	1.15385	1.15462	1.15385	1.15418	677	0	9
2025.08.05	10:00:00	1.15416	1.15445	1.15364	1.15416	646	0	9
2025.08.05	10:15:00	1.15414	1.15418	1.15338	1.15349	666	0	9
2025.08.05	10:30:00	1.15349	1.15447	1.15338	1.15438	523	0	9
2025.08.05	10:45:00	1.15438	1.15454	1.15414	1.15437	460	0	9
2025.08.05	11:00:00	1.15435	1.15440	1.15371	1.15390	553	0	9
2025.08.05	11:15:00	1.15390	1.15476	1.15368	1.15433	544	0	9
2025.08.05	11:30:00	1.15433	1.15433	1.15271	1.15325	797	0	9
2025.08.05	11:45:00	1.15322	1.15392	1.15318	1.15389	720	0	9
2025.08.05	12:00:00	1.15391	1.15482	1.15359	1.15398	982	0	9
2025.08.05	12:15:00	1.15399	1.15433	1.15299	1.15365	1542	0	9
2025.08.05	12:30:00	1.15365	1.15402	1.15297	1.15391	952	0	9
2025.08.05	12:45:00	1.15390	1.15416	1.15322	1.15366	898	0	9
2025.08.05	13:00:00	1.15369	1.15429	1.15360	1.15429	851	0	9
2025.08.05	13:15:00	1.15427	1.15517	1.15406	1.15504	774	0	9
2025.08.05	13:30:00	1.15504	1.15539	1.15476	1.15495	1058	0	9
2025.08.05	13:45:00	1.15492	1.15504	1.15319	1.15371	1331	0	9
2025.08.05	14:00:00	1.15377	1.15578	1.15355	1.15405	2872	0	9
2025.08.05	14:15:00	1.15406	1.15455	1.15335	1.15433	1957	0	9
2025.08.05	14:30:00	1.15433	1.15586	1.15387	1.15578	1425	0	9
2025.08.05	14:45:00	1.15577	1.15657	1.15516	1.15645	1398	0	9
2025.08.05	15:00:00	1.15647	1.15784	1.15623	1.15777	1212	0	9
2025.08.05	15:15:00	1.15778	1.15846	1.15752	1.15786	899	0	9
2025.08.05	15:30:00	1.15786	1.15819	1.15742	1.15814	1125	0	9
2025.08.05	15:45:00	1.15814	1.15823	1.15741	1.15789	758	0	9
